"城市范围","检索日期","视频标题","BV号","视频链接","发布日期","播放量","评论数","创作者","创作者UID","粉丝数","粉丝核验日","门槛结论","发现来源"
"无锡市","2026-07-21","打卡无锡美食博主的新店~","BV1DHKy6tEwx","https://www.bilibili.com/video/BV1DHKy6tEwx/","2026-07-20","218","0","宋叉叉sean","31384613","4","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","又遇麻辣烫刺客！小笼包、开洋馄饨，逛吃无锡网红市场 @街头小小小霸王","BV1ugKm6YEK8","https://www.bilibili.com/video/BV1ugKm6YEK8/","2026-07-20","6555","51","爱学习的好王野","11263788","96805","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","擂茶在无锡和馄饨咖啡混搭？","BV1XYKr6pEDT","https://www.bilibili.com/video/BV1XYKr6pEDT/","2026-07-20","2871","15","二少爷的拍拍拍","1604051466","3366","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","时隔5年又来无锡这家老面馆，此情此景早已物是人非，吃的还是那个老味道！","BV1xpKK6VEJa","https://www.bilibili.com/video/BV1xpKK6VEJa/","2026-07-19","3522","10","秦大浪vlog","1238201958","20145","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","山东夫妻俩在无锡开饭店，食材都从老家运口味地道，200元吃这么多您看如何？","BV1wjKn6yEdw","https://www.bilibili.com/video/BV1wjKn6yEdw/","2026-07-17","6200","21","秦大浪vlog","1238201958","20145","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","隋坡力荐的无锡争议饭店，土著来讲一讲真心话｜无锡美食｜无锡探店｜胖妹饭店","BV1kvKg6DEqm","https://www.bilibili.com/video/BV1kvKg6DEqm/","2026-07-16","8162","22","Local老王","3546984065534514","341","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","二刷无锡这家老面馆，几年没来环境好了菜品琳琅满目，47元几个浇头一碗面吃得饱！","BV1q9KG6jEcG","https://www.bilibili.com/video/BV1q9KG6jEcG/","2026-07-16","4763","7","秦大浪vlog","1238201958","20145","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡巨无霸二郎拉面到底谁能吃完大嘴也不行","BV1vjKG6rEGW","https://www.bilibili.com/video/BV1vjKG6rEGW/","2026-07-16","4194","14","贪吃小阿姨","1057793578","15568","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡146元一人的美式烤肉自助，牛肋排、牛前胸、猪肋排不限量","BV1WrK56AEKj","https://www.bilibili.com/video/BV1WrK56AEKj/","2026-07-16","122260","338","爱吃自助的橙子","511018038","172436","2026-07-21","通过：≥10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡我反复吃了十来次的宝藏食堂暑假来尝尝","BV1ZxNq6mEr1","https://www.bilibili.com/video/BV1ZxNq6mEr1/","2026-07-15","4821","196","贪吃小阿姨","1057793578","15568","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡老城区苍蝇馆子，100元不到吃五个菜","BV1sgN26DEEs","https://www.bilibili.com/video/BV1sgN26DEEs/","2026-07-13","119","0","wuxitv","295219084","28","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡69元齐齐哈尔烤肉自助! 十几种原切牛肉不限量!","BV1F8Nu6GEo3","https://www.bilibili.com/video/BV1F8Nu6GEo3/","2026-07-12","14383","39","大韩同学呀","1739612939","140975","2026-07-21","通过：≥10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡｜闽南味的优雅小馆","BV1NUNW6xEbo","https://www.bilibili.com/video/BV1NUNW6xEbo/","2026-07-11","1229","8","玉兰饼吃什么vlog","3546818132576366","1369","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
