"城市","区县或县级市","检索日期","视频标题","BV号","视频链接","发布日","播放量","评论数","创作者","创作者UID","粉丝数","粉丝核验日","来源","门槛结论","评论采集状态","备注"
"常州市","常州市","2026-07-22","在常州街头吃超大大大大鸡排，还有超大大大大炸猪排！听说是老常州味道！","BV1zftZedEVC","https://www.bilibili.com/video/BV1zftZedEVC/","2024-09-20","5241934","1465","达哥在上海","504799975","1052677","2026-07-22","B站内置浏览器搜索页结构化数据+公开粉丝接口","通过：粉丝>5000 且评论>20","待重新采集","地区和餐饮语义由标题、标签或简介命中；评论数为搜索页结构化字段 review"
"常州市","常州市","2026-07-22","美食之旅——常州小毛面馆","BV1QW9LB8Exe","https://www.bilibili.com/video/BV1QW9LB8Exe/","2026-04-01","276493","1001","王迅","386306680","584235","2026-07-22","B站内置浏览器搜索页结构化数据+公开粉丝接口","通过：粉丝>5000 且评论>20","待重新采集","地区和餐饮语义由标题、标签或简介命中；评论数为搜索页结构化字段 review"
"常州市","常州市","2026-07-22","江苏常州198元火锅自助，各种精品肥牛当面条吃，满桌都是肉，太过瘾了。","BV1X64y1a79S","https://www.bilibili.com/video/BV1X64y1a79S/","2021-08-29","281535","840","老胡吃饱饱","61694964","350822","2026-07-22","B站内置浏览器搜索页结构化数据+公开粉丝接口","通过：粉丝>5000 且评论>20","待重新采集","地区和餐饮语义由标题、标签或简介命中；评论数为搜索页结构化字段 review"
"常州市","常州市","2026-07-22","竟然能在常州吃到如此还原用心的豚骨拉面！？","BV1B54y1c7XS","https://www.bilibili.com/video/BV1B54y1c7XS/","2023-02-23","212223","777","爱池面","4321826","384648","2026-07-22","B站内置浏览器搜索页结构化数据+公开粉丝接口","通过：粉丝>5000 且评论>20","待重新采集","地区和餐饮语义由标题、标签或简介命中；评论数为搜索页结构化字段 review"
"常州市","常州市","2026-07-22","江苏常州顶流猪脚面？！任性休息一个正月！终于开门食客争相前往包括我…","BV1qg4y1n7iT","https://www.bilibili.com/video/BV1qg4y1n7iT/","2023-02-21","256561","665","爱池面","4321826","384648","2026-07-22","B站内置浏览器搜索页结构化数据+公开粉丝接口","通过：粉丝>5000 且评论>20","待重新采集","地区和餐饮语义由标题、标签或简介命中；评论数为搜索页结构化字段 review"
"常州市","常州市","2026-07-22","江苏常州吃一天！特色糖肘深夜火锅！","BV1URYrzaE6J","https://www.bilibili.com/video/BV1URYrzaE6J/","2025-08-17","482865","620","密子君","3032988","3625595","2026-07-22","B站内置浏览器搜索页结构化数据+公开粉丝接口","通过：粉丝>5000 且评论>20","待重新采集","地区和餐饮语义由标题、标签或简介命中；评论数为搜索页结构化字段 review"
"常州市","常州市","2026-07-22","传说中亚洲最大的夜市！居然在常州！？","BV1W94y137ma","https://www.bilibili.com/video/BV1W94y137ma/","2023-11-11","330141","599","郑安眠","9567084","978724","2026-07-22","B站内置浏览器搜索页结构化数据+公开粉丝接口","通过：粉丝>5000 且评论>20","待重新采集","地区和餐饮语义由标题、标签或简介命中；评论数为搜索页结构化字段 review"
"常州市","常州市","2026-07-22","常州独具特色的老牌酱大骨自助，如此软烂入味第一次吃到，捧着啃好过瘾。","BV1kf4y1A7bs","https://www.bilibili.com/video/BV1kf4y1A7bs/","2021-09-02","172868","527","老胡吃饱饱","61694964","350822","2026-07-22","B站内置浏览器搜索页结构化数据+公开粉丝接口","通过：粉丝>5000 且评论>20","待重新采集","地区和餐饮语义由标题、标签或简介命中；评论数为搜索页结构化字段 review"
"常州市","常州市","2026-07-22","【常州富都VOCO龙虾帝王蟹自助】398元 出品不错","BV1Lj421971m","https://www.bilibili.com/video/BV1Lj421971m/","2024-03-31","173704","526","陈随便778","480662886","498466","2026-07-22","B站内置浏览器搜索页结构化数据+公开粉丝接口","通过：粉丝>5000 且评论>20","待重新采集","地区和餐饮语义由标题、标签或简介命中；评论数为搜索页结构化字段 review"
"常州市","常州市","2026-07-22","红烧鱼大蒜拌饭香炸！常州驻京办，溧阳扎干 荠菜烧卖，高分天花板！","BV19A411r7yL","https://www.bilibili.com/video/BV19A411r7yL/","2023-02-01","93078","482","姗胖胖Joyce","40491956","550013","2026-07-22","B站内置浏览器搜索页结构化数据+公开粉丝接口","通过：粉丝>5000 且评论>20","待重新采集","地区和餐饮语义由标题、标签或简介命中；评论数为搜索页结构化字段 review"
"常州市","常州市","2026-07-22","江苏常州，网红特色菜馆，尝尝怎么样？","BV1QSaqzxEEW","https://www.bilibili.com/video/BV1QSaqzxEEW/","2025-09-06","250447","439","JASON刘雨鑫","403082144","741917","2026-07-22","B站内置浏览器搜索页结构化数据+公开粉丝接口","通过：粉丝>5000 且评论>20","待重新采集","地区和餐饮语义由标题、标签或简介命中；评论数为搜索页结构化字段 review"
"常州市","常州市","2026-07-22","美食之旅——常州小王饭店","BV1mJDpBvEJW","https://www.bilibili.com/video/BV1mJDpBvEJW/","2026-04-09","216531","435","王迅","386306680","584235","2026-07-22","B站内置浏览器搜索页结构化数据+公开粉丝接口","通过：粉丝>5000 且评论>20","待重新采集","地区和餐饮语义由标题、标签或简介命中；评论数为搜索页结构化字段 review"
"常州市","常州市","2026-07-22","美食之旅——常州早餐","BV1EqQ7BkEvW","https://www.bilibili.com/video/BV1EqQ7BkEvW/","2026-04-15","116496","410","王迅","386306680","584235","2026-07-22","B站内置浏览器搜索页结构化数据+公开粉丝接口","通过：粉丝>5000 且评论>20","待重新采集","地区和餐饮语义由标题、标签或简介命中；评论数为搜索页结构化字段 review"
"常州市","常州市","2026-07-22","常州驻京办四个人569！绝对是吃过最好吃的干豆腐丝","BV13X4y1v7sF","https://www.bilibili.com/video/BV13X4y1v7sF/","2023-06-28","41263","387","吴妈安达","16001661","138502","2026-07-22","B站内置浏览器搜索页结构化数据+公开粉丝接口","通过：粉丝>5000 且评论>20","待重新采集","地区和餐饮语义由标题、标签或简介命中；评论数为搜索页结构化字段 review"
"常州市","常州市","2026-07-22","江苏常州人的深夜食堂，尝尝怎么样？","BV1sfadzAEWJ","https://www.bilibili.com/video/BV1sfadzAEWJ/","2025-09-08","369677","368","JASON刘雨鑫","403082144","741917","2026-07-22","B站内置浏览器搜索页结构化数据+公开粉丝接口","通过：粉丝>5000 且评论>20","待重新采集","地区和餐饮语义由标题、标签或简介命中；评论数为搜索页结构化字段 review"
"常州市","常州市","2026-07-22","常州120年老字号，排名第一的正宗猪蹄拌面，常州吃面攻略！","BV13h411E7yf","https://www.bilibili.com/video/BV13h411E7yf/","2023-04-20","113197","319","知吃师","519724024","353962","2026-07-22","B站内置浏览器搜索页结构化数据+公开粉丝接口","通过：粉丝>5000 且评论>20","待重新采集","地区和餐饮语义由标题、标签或简介命中；评论数为搜索页结构化字段 review"
"常州市","常州市","2026-07-22","谁说常州没有地道的苍蝇馆？126元点了四个荤菜，每道菜都是特色","BV1xe4y1n7Hb","https://www.bilibili.com/video/BV1xe4y1n7Hb/","2022-10-09","30290","312","胖三疯","626157934","29659","2026-07-22","B站内置浏览器搜索页结构化数据+公开粉丝接口","通过：粉丝>5000 且评论>20","待重新采集","地区和餐饮语义由标题、标签或简介命中；评论数为搜索页结构化字段 review"
