"候选写法","提及评论数","涉及视频数","涉及城市","涉及区县或县级市","有效推荐语境数","戏谑或比较语境数","负面语境数","仅提及语境数","语义判定依据","最高点赞数","召回方式","召回级别","证据BV号","证据评论ID","证据摘录","处理建议"
"熙盛源","197","16","无锡市","无锡市","36","2","7","153","含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；明确重复到店行为；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","470","词典命中／门店后缀／推荐／店名句式","A-词典命中","BV1e314YJEFA","245730230704","熙盛源的开洋馄饨和小笼包正宗吗，我去无锡吃过一次，还觉得挺好吃的","进入实体精筛表"
"毛华","129","21","无锡市","无锡市","29","3","4","94","含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；明确重复到店行为；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","160","词典命中／推荐／店名句式","A-词典命中","BV1QT421C7iV","219609125216","毛华哇 确实好吃 每周都来[打call]","进入实体精筛表"
"小猪","23","1","无锡市","江阴市","23","0","0","0","明确正向用餐体验","2","推荐／店名句式","B-存在明确推荐","BV1L1421Z7Zz","217317062208","回复：没事，老上海话，江阴本地人听毫无压力，你点菜只要是江阴的，基本都听得懂还会讲2句，江阴哪家没几个上海亲戚[doge][doge][doge]，以前每周必看老娘舅，可惜没有了","优先平台检索"
"三凤桥","162","21","无锡市","无锡市","22","5","8","128","含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","202","词典命中","A-词典命中","BV1KbygBJELh","282858751040","是的，开洋拌馄饨，小笼包，三凤桥蹄髈，三凤桥红烧肉都很好吃[滑稽] 当然这些都蛮甜的，外地人不一定爱吃，本地人也可能有不爱吃的，我很爱吃[喜欢]","进入实体精筛表"
"老牛窝里","156","11","无锡市","无锡市","16","3","19","119","含反讽或戏谑信号；含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","614","词典命中／推荐／店名句式","A-词典命中","BV1e314YJEFA","245748793200","看片头这不是老牛窝里吗？老牛窝里不可能说的这么差的，而且这点的也都是老牛窝里的招牌菜，虽然我老店有十年没去吃了，但新店我是一直去吃的，我不太相信新店和老店有多少区别都是一家师傅出来的，不然我不太相信这个视频的真实性，尤其是筒肠，老牛窝里的筒…","进入实体精筛表"
"王兴记","141","12","无锡市","无锡市","16","2","22","102","含反讽或戏谑信号；含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","47","词典命中／推荐／店名句式","A-词典命中","BV1oP6mB4EuX","286201351841","福乐就是最传统的老店了，特点是开洋味浓，价格便宜的提前下品质比较好，比它价格便宜的没它好吃，比它好吃的肯定比它贵，加上市中心的位置，复古的售卖方式，算是比较有代表性且性价比很高的无锡特色小吃了，红汤辣用了一部分鲜椒，味道比较复合，酱油是老酱…","进入实体精筛表"
"天福苑","44","13","无锡市","无锡市","14","2","1","28","含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","21","词典命中／推荐／店名句式","A-词典命中","BV1Z9NJ6vEPS","308801539296","无锡本地人，鸡鸭鹅不好吃[夏日萌菜表情包_两眼一黑]，不是正儿八经的无锡本帮菜，天福苑的好吃","进入实体精筛表"
"超级","13","9","无锡市","无锡市","13","0","0","0","明确正向用餐体验","370","推荐／店名句式","B-存在明确推荐","BV1GgXNBiESt","294660680177","这个应该是老师没约到的那家，超级好吃😋","优先平台检索"
"还挺","13","4","无锡市","无锡市","13","0","0","0","明确正向用餐体验","2","推荐／店名句式","B-存在明确推荐","BV1Z9NJ6vEPS","305643096305","回复： 作为浙江人，也知道，浙江菜是偏甜的，以为就是我日常吃的那种，去无锡，第一顿，怎么都是甜的，还挺好吃，第二顿，怎么都是甜的，第三顿，妈耶，原来我是个假的浙江人，好在马上要换地方了","优先平台检索"
"特别","13","8","无锡市","无锡市","12","0","1","0","含明确负向体验；明确正向用餐体验","392","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","132578797648","我之前在无锡上班 经常吃那个鸿运大包 真的特别好吃 无锡本地人应该知道[笑哭][笑哭]","优先平台检索"
"超王记","84","12","无锡市","江阴市／无锡市","10","1","5","68","含反讽或戏谑信号；含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","121","词典命中／推荐／店名句式","A-词典命中","BV1cURwYnEum","257097214080","我觉得超王记挺好吃的，苏兴记也可以。","进入实体精筛表"
"笑来喜","48","9","无锡市","江阴市／无锡市","9","2","6","31","含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","21","词典命中／推荐／店名句式","A-词典命中","BV1L1421Z7Zz","217160381328","方桥不行，都是方便面调料味，可以去澄江福地寿山路口的笑来喜","进入实体精筛表"
"福乐","63","9","无锡市","无锡市","7","2","3","51","含明确负向体验；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","169","词典命中／推荐／店名句式","A-词典命中","BV1e314YJEFA","245737223248","我是老无锡人了 无锡真的好吃的苍蝇馆子 在老第四人民医院那边有个福乐馄饨 谁吃谁知道","进入实体精筛表"
"勤德兴","34","8","无锡市","无锡市","7","1","2","24","含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","10","词典命中／门店后缀／推荐／店名句式","A-词典命中","BV1cURwYnEum","256313082033","锡盛源不好吃，勤德兴好吃服务环境也好但是以前馄饨大做了活动促销以后越小越小","进入实体精筛表"
"punch","52","3","无锡市","无锡市","6","1","1","44","含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","262","词典命中／推荐／店名句式","A-词典命中","BV1WrK56AEKj","309623727872","可惜了，其实可以试试那家PUNCH美式烤肉自助的，太神了，无锡吃过最夯的，就是现在预约太难了[汤圆]","进入实体精筛表"
"古香楼","31","5","无锡市","无锡市","6","4","1","20","含明确负向体验；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","6","词典命中","A-词典命中","BV1cURwYnEum","257105450112","回复：芦庄超王记也还可以。 我家那儿的古香楼也不错。","进入实体精筛表"
"尝尝","6","5","无锡市","无锡市","6","0","0","0","明确到店或菜品推荐","5","推荐／店名句式","B-存在明确推荐","BV1GgXNBiESt","296862796272","本地菜最基础保险的选择是老牛窝里，最好去他们家老店，体验本地常吃的早面菜饭一类可以去鸡鸭鹅大饭店、丰鼎鸡汤面馆、春笋面馆，南禅寺小吃街现在很同质化了我是不太推荐去的，可以试试海棠糕和梅花糕，就是要注意可能真的很甜顶不住，还想找些小吃可以去稻…","优先平台检索"
"也很","6","4","无锡市","无锡市","6","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","132880132640","我小时候真的喜欢吃啊！现在经济条件好了，吃着不是那个味了，还有那个小时候吃的银鱼白鱼白虾，也很好吃！","优先平台检索"
"美式烤肉","48","3","无锡市","无锡市","5","1","2","40","含反讽或戏谑信号；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","454","门店后缀","B-存在明确推荐","BV1WrK56AEKj","309602237280","这家看起来很不错啊，美式烤肉就喜欢吃这种烤的软烂的，好嚼就是好肉","优先平台检索"
"锡笼记","42","10","无锡市","无锡市","5","0","6","31","含明确负向体验；明确正向用餐体验；只有店名提及，缺少推荐语义","121","词典命中／推荐／店名句式","A-词典命中","BV1Ue4y1r7QE","132748563568","说无锡甜的，我就觉得很搞笑，你怎么不说四川辣，广东宣，就像吃咸鱼咸肉说太咸，臭豆腐太臭，这不是找茬吗？无锡是没有辣的饭店吗？没有清淡的，没有味道浓厚的吗？就一定要喷到把一个地方特色给改没了。做为一个土生土长瘪三的小无锡人，无锡美食已经消失了…","进入实体精筛表"
"穆桂英","37","12","无锡市","无锡市","5","0","2","30","含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；只有店名提及，缺少推荐语义","73","词典命中／推荐／店名句式","A-词典命中","BV1Ue4y1r7QE","132566257552","两年前去的无锡 他们的穆桂英美食 三凤桥排骨和熙盛源不错 很地道的无锡美食但是会偏甜 他们什么菜都要加很多很多白砂糖！ 不知道丹牛吃不吃的惯 我都吃过 这些小众美食我没有尝试过下次会来看看","进入实体精筛表"
"福乐馄饨","26","6","无锡市","无锡市","5","1","1","19","含明确负向体验；明确正向用餐体验；戏谑或比较提及，不等同推荐；只有店名提及，缺少推荐语义","52","词典命中／门店后缀","A-词典命中","BV1e314YJEFA","245737223248","我是老无锡人了 无锡真的好吃的苍蝇馆子 在老第四人民医院那边有个福乐馄饨 谁吃谁知道","进入实体精筛表"
"圆圆包子","24","5","无锡市","无锡市","5","0","1","18","含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；只有店名提及，缺少推荐语义","68","词典命中／门店后缀","A-词典命中","BV1Ue4y1r7QE","132763869904","以前在太湖广场附近，每周买五个圆圆包子铺的肉包（豆沙也很好吃），然后上班之前叮一下","进入实体精筛表"
"园园包子","22","5","无锡市","无锡市","5","0","1","16","含明确负向体验；明确到店或菜品推荐；明确正向用餐体验；只有店名提及，缺少推荐语义","1","词典命中／门店后缀","A-词典命中","BV19XZDYQE4L","259103702753","菜/肉也可以吃园园包子","进入实体精筛表"
"淼品香","16","3","无锡市","无锡市","5","0","2","9","含明确负向体验；明确正向用餐体验；明确重复到店行为；只有店名提及，缺少推荐语义","3","词典命中","A-词典命中","BV1cURwYnEum","256596829185","淼品香也不错 配上酸辣汤很好吃","进入实体精筛表"
